tags,score
"<c++><c++11><shared-ptr><smart-pointers><move-semantics>","83"
"<javascript><jquery><google-chrome><jquery-1.7>","96"
"<javascript><asynchronous><typescript><es6-promise><ecmascript-2017>","62"
"<angular-cli>","73"
"<ios><xcode9-beta><xcode9>","76"
"<c#><null><switch-statement><var><c#-7.0>","87"
"<android-studio><kotlin>","85"
"<c++><integer><function-overloading><negative-number><ambiguous-call>","84"
"<python><string><python-3.x><unicode><python-internals>","70"
"<c#><.net><.net-core><coreclr>","78"
"<ios><xcode9>","54"
"<macos><android-studio><adb>","66"
"<javascript><ecmascript-6><const>","81"
"<angular><typescript><rxjs>","82"
"<java>","64"
